No,Destination,Ratings,Tags,Description,Accommodation,Shopping,Transportation,AdventureLevel,Cuisine,Tourist_Attraction_1,Tourist_Attraction_2,Tourist_Attraction_3,Spiritual,Nature,Crowded,Nightlife,Average Budget,Latitude,Longitude
11,Andaman & Nicobar Islands,4.5," ""Blue seas, virgin islands and colonial past"" "," Replete with turquoise blue water beaches and a bit of history, Andaman & Nicobar Islands is a little slice of paradise tucked around 1,400 km away from the east coast of mainland India. Port Blair, the capital of this union territory, has a major airport and seaport connected with the rest of the country and with various tourist islands via multiple daily ferries. Havelock and Neil Islands are popular among tourists for their white sandy beaches and excellent diving options. Andaman & Nicobar Islands comprises 572 islands, only 37 of which are inhabited, and a few are open to tourists. Havelock Island is one of the largest and the most popular islands of all Andaman & Nicobar Islands. Travellers typically enter from Port Blair via flight or ship and spend multiple nights in Havelock and Neil Islands that offer some great resorts.The southern coast of the Havelock island has the charming Radhanagar Beach, while the azure beauty of Vijayanagar Beach is situated towards the east of the island.  Perhaps the most endearing feature of Neil island is its three sandy beaches, namely Bharatpur Beach, Sitapur Beach and Lakshmanpur Beaches.",Hotels,Local Markets,Ferry,High,Seafood,Radhanagar Beach,Cellular Jail,Ross Island,2,5,3,2,3724,11.7401,92.6586
12,Auli,4.2," ""The skiing destination of India"" "," Dotted with the apple orchards, old oaks, and pine trees there is no dearth of natural beauty in Auli. Apart from skiing you can also go for numerous treks in the hills of Garhwal Himalayas and enjoy the spellbinding views of the snow-draped mountains. Auli is a popular hill resort in the Himalayan range dating back to the 8th Century AD. The Garhwal Mandal Vikas Nigam Limited (GMVL) runs a ski resort and a ski rental shop. ",Resorts,Local Shops,Car,High-Nice,North Indian Cuisine,Auli Ski Resort,Gurso Bugyal,Kwani Bugyal,2,5,1,1,3724,30.309,79.5249
13,Aurungabad,3.8," ""Base To Explore Ajanta & Ellora"" "," Aurangabad, which was declared by the Government as the Tourism Capital of Maharashtra back in 2010, is a famous tourist hub which greets its visitors with a richly woven tapestry of sights and sounds. The city got its name for being the erstwhile capital of Mughal Emperor Aurangzeb in the 17th century AD. The town is used as the base to explore the extremely famous caves of Ajanta and Ellora, Daulatabad Fort which is renowned for its strong defence systems, Mausoleums of Aurangzeb and Bibi-Ka-Maqbara famous for its architecture and Grishneshwar Temple, one of the only 12 Shiva Jyotirlingas in India.",Hotels,Markets,Auto Rickshaws,Medium,Mughlai Cuisine,Bibi Ka Maqbara,Daulatabad Fort,Ellora Caves,3,3,2,1,3724,19.8762,75.3433
14,Bangalore,4.1," ""Garden city of India"" "," Having evolved gradually from being the Garden city to the Silicon Valley of India, Bangalore is India's third-largest city. Bangalore is loved for its pleasant weather, beautiful parks and the many lakes here. Bangalore is renowned for its eateries, street food corners, quirky cafes, coffee roasters and pubs dotting every corner of the city, serving cuisines from all over the world. Brunches, buffets, burgers, rooftop cafes, late-night eats - Bangalore has it all.",Hotels,Malls,Metro,Medium-Great,South Indian Cuisine,Lalbagh Botanical Garden,Bangalore Palace,Cubbon Park,2,5,4,4,3724,12.9716,77.5946
15,Bhubaneshwar,4.1," ""Temple City of India"" "," Bhubaneswar, the temple city of India, once known for its architecture and grand temples, is presently a thriving centre for commerce and business.",Hotels,Local Markets,Bus,Medium-Eastern,Odia Cuisine,Lingaraja Temple,Nandankanan Zoological Park,Udayagiri and Khandagiri Caves,4,4,3,2,3724,20.2961,85.8245
16,Bikaner,4.3," ""The desert town of 'Camel Festival'"" "," Located in the midst of Thar Desert, Bikaner is a ""cultural paradise and a traveller's haven"". Bikaner with its magnificence in architecture, art and culture is filled with colour, festivity and cultural marvels.The city will mesmerize you with the camels sauntering the beautiful sand dunes, its ancient palaces and forts. Rightly called as one of the three great desert kingdoms of Rajasthan, the dazzling city boasts of old-world charm, opulent havelis and depicts a pleasing bygone era of the Rajputs. Best known as the ""camel country"" for breeding some best-known riding camels, Bikaner also happens to house one of the only two models of the biplane used by the British in World War 1.",Hotels,Local Markets,Auto Rickshaws,Medium,Rajasthani Cuisine,Junagarh Fort,Karni Mata Temple,Laxmi Niwas Palace,3,3,2,2,3724,28.0229,73.3119
17,Bodhgaya,4.4," ""Buddha, Mahabodhi Tree and the land of Nirvana"" "," Bodh Gaya is a Buddhist pilgrimage site in Gaya District of Bihar. Famous for the Mahabodhi Temple, It was here under the Bodhi tree that Gautama Buddha attained enlightenment.",Hotels,Local Shops,Auto Rickshaws,Medium,North Indian Cuisine,Mahabodhi Temple,Bodhi Tree,Great Buddha Statue,5,4,2,1,3724,24.6968,84.9903
18,Chandigarh,4.2," ""India's first planned city"" "," Chandigarh is a union territory that is the capital of both Punjab, as well as, Haryana. India's first planned city, Chandigarh is traditionally a Punjabi city at heart with a healthy dose of modernity; Chandigarh's food and gedi culture (a leisure drive or ride the city) is what the capital is known for! Located at a distance of 265 km from Delhi, Chandigarh is one of the popular weekend road trip destinations and other major cities but also acts as an important staging point when one heads to destinations in Himachal Pradesh and Jammu and Kashmir.",Hotels,Malls,Auto Rickshaws,Medium-Great,North Indian Cuisine,Rock Garden,Sukhna Lake,Rose Garden,2,4,3,3,3724,30.7333,76.7794
19,Chennai,3.9," ""The Detroit of India"" "," Formerly known as Madras, Chennai is the capital city of the state of Tamil Nadu, in the southern part of India. Located on the Coromandel coast of Bay of Bengal, Chennai is as dynamic as it is immersed in tradition. This 'capital of the south', is one among the four metropolitan siblings of India, having a rich cultural history which it perfectly balances with its metropolis lifestyle.",Hotels,Malls,Metro,Medium-Great,South Indian Cuisine,Marina Beach,Kapaleeshwarar Temple,Fort St. George,3,3,4,3,3724,13.0827,80.2707
20,Cherrapunji,4.5," ""Meghalaya's dew drop"" "," Earlier the wettest place on the Earth, Cherrapunji in Meghalaya, also known as Sohra, is known for its double-decker living root bridge. Located around 50 Kms from Shillong, this sub-divisional town is famous for its rich flora and natural attractions. Although Mawsynram is now the wettest place on earth, Cherrapunji still holds the record for the highest recorded rainfall in a calendar year. Apart from the famous living root bridge, other natural attractions include cave formations such as the Mawsmai Caves and Krem Phyllut. Asia's cleanest village, Mawylyngnong is another famous tourist spot here, where visitors can live and experience the food and culture of the village.",Hotels,Local Markets,Bus,High,North Eastern Cuisine,Nohkalikai Falls,Living Root Bridges,Seven Sisters Falls,2,5,2,1,3724,25.2986,91.5822
21,Chittorgarh,4.1," ""City of Pride and Honor"" "," Located in South-Eastern Rajasthan, Chittorgarh is known for Chittorgarh Fort, the largest fort in India built on a hilltop, spreading over an area of around 700 acres. The capital of the erstwhile kingdom of Mewar, the magnificent fortress will always be remembered for the courageous self-sacrificing Jauhar performed by Rani Padmini to thwart the conquest of the fort by Alauddin Khilji.",Hotels,Local Markets,Car,Medium,Rajasthani Cuisine,Chittorgarh Fort,Rana Kumbha Palace,Vijay Stambh,3,4,2,1,3724,24.8799,74.6299
22,Coimbatore,4.1," ""Manchester of the South India"" "," Often termed as 'Manchester of South India', Coimbatore, the second-largest city in Tamil Nadu, photographically situated on the banks of River Noyyal. Coimbatore, also known as Kovai, is a welcoming area with the backdrop of hustle-bustle and charm of activity and industry. From ancient temples to classy new buildings, from breathtaking mountains to jaw-dropping waterfalls, from mouth-watering cuisine to pleasant weather all year round, Coimbatore has everything you could possibly need to make for a perfect holiday experience. Coimbatore is home to a massive 112 feet tall statue of Lord Shiva, known as the Adiyogi Shiva Statue. Featured in the Guinness Book of World Records, this architectural masterpiece is a very popular tourist spot in Coimbatore and stands as a symbol of self-transformation and inner peace. ",Hotels,Malls,Auto Rickshaws,Medium-Great,South Indian Cuisine,Marudamalai Temple,VOC Park and Zoo,Dhyanalinga,4,4,3,2,3724,11.0168,76.9558
23,Coorg,4.2," ""The Scotland of India"" "," Located amidst imposing mountains in Karnataka with a perpetually misty landscape, Coorg is a popular coffee producing hill station. It is popular for its beautiful green hills and the streams cutting right through them. It also stands as a popular destination because of its culture and people. The Kodavas, a local clan specializing in martial arts, are especially notable for their keen hospitality.",Resorts,Local Shops,Car,High,South Indian Cuisine,Abbey Falls,Talakaveri,Dubare Elephant Camp,2,5,3,1,3724,12.3375,75.8069
24,Dalhousie,4.2," ""Little Switzerland of India"" "," Dalhousie is a popular hill station spread out over five hills in Himachal Pradesh boasting views of the snow-capped peaks of the Dhauladhar ranges. Famous for its meadows, dense forests, and waterfalls, it is especially a favourite amongst honeymooners and family vacationers.",Hotels,Local Shops,Car,Medium-Nice,North Indian Cuisine,Khajjiar,Dainkund Peak,Satdhara Falls,3,5,2,1,3724,32.5364,75.9655
25,Darjeeling,4.3," ""Queen of The Himalayas"" "," Darjeeling, the former summer capital of India under the British Raj, has evolved into one of India's most sought-after hill stations. This picturesque hill destination in West Bengal is ideal for a romantic honeymoon. Darjeeling, nestled among acres of tea estates, is 2,050 metres above sea level and thus has a cool climate all year.",Hotels,Local Markets,Toy Train,High,North Eastern Cuisine,Tiger Hill,Batasia Loop,Peace Pagoda,2,5,3,2,3724,27.036,88.2627
26,Dehradun,3.9," ""Winter Capital of Uttarakhand"" "," Dehradun is the capital city and the largest city of Uttarakhand. Dehradun is located at an altitude of 1400 feet above sea level and has a pleasant climate all year round. Located just 30kms from Mussoorie, Dehradun is known as the gateway to Mussoorie and Rishikesh and Haridwar. Dehradun is also known as the ""Educational Hub of Uttarakhand"" with some of the country's prestigious universities and boarding schools.",Hotels,Malls,Bus,Medium-Nice,North Indian Cuisine,Robber's Cave,Mindrolling Monastery,Sahastradhara,3,4,3,2,3724,30.3165,78.0322
27,Delhi,4.1," ""The Capital City of India"" "," The capital of India, Delhi is a cosmopolitan city with a historic old Delhi and the modern New Delhi. From historical monuments to crowded shopping malls, from an extensive network of the modern metro system to Delhi University campus, Dilli has multiple personalities and is considered to be the city with a heart.",Hotels,Malls,Metro,High-Great,North Indian Cuisine,India Gate,Qutub Minar,Red Fort,3,4,5,4,3724,28.6139,77.209
28,Dharamshala,4.1," ""The little Lhasa in India"" "," Dharamshala is a beautiful hill town in the Dhauladhar range of Himalayas. It is the winter capital of Himachal Pradesh and is located in the upper slopes of the Kangra valley. Once known as a british hill station during the colonial era, Dharamsala soon became occupied by Tibetan communities and is now home to the greatest Buddhist leader Dalai Lama. ",Hotels,Local Markets,Car,Medium-Nice,North Indian Cuisine,McLeod Ganj,Bhagsunath Temple,Namgyal Monastery,4,5,3,2,3724,32.219,76.3234
29,Digha,4," ""A blissful and untouched beach town"" "," Beach town situated on the shores of Bay of Bengal, Digha is a popular tourist destination known for its untouched beaches and scenic views, especially among people in West Bengal.",Hotels,Markets,Bus,Medium,Bengali Cuisine,Digha Beach,Amarabati Park,Chandaneswar Temple,2,3,4,1,3724,21.6276,87.5204
30,Gangtok,4.4," ""The Gateway to Sikkim"" "," Incredibly alluring, pleasantly boisterous and wreathed in clouds - Gangtok, the capital of Sikkim, is one of the most popular hill stations in India. Lying at the height of 1650 m above sea level, the town during its bright sunny days offers spectacular views of Mt. Kanchenjunga. Gangtok is a base for adventure enthusiasts comprising of trekkers and campers to the Himalayan mountain ranges. Dzongri Trek, Varsey/Barsey Trek, and Tholung Trek are among the most popular treks departing from Gangtok. The possibility of paragliding and hang gliding is also not far from Gangtok. The capital city serves as an excellent starting point for mountain biking excursions. During the months of March to Mid-May, blooming of wild Rhododendrons transform the surrounding regions in vast fields of colourful carpets.",Hotels,Local Markets,Taxi,High,North Eastern Cuisine,Nathula Pass,Rumtek Monastery,Tsomgo Lake,3,5,3,2,3724,27.3389,88.6065
31,Gir National Park,4.2," ""The land of Asiatic Lions"" "," Gir National Park and Wildlife Sanctuary is the only remaining home for the Asiatic Lions. Located in Talala Gir in Gujarat, the Sanctuary is a part of Kathiawar- Gir dry deciduous forests ecoregion. Gir National Park is closed from 16 June to 15 October every year and the best time for wildlife spotting is April and May.",Resorts,Local Shops,Car,High-Great,Gujarati Cuisine,Gir National Park and Wildlife Sanctuary,Somnath Temple,Junagadh,2,4,2,1,3724,21.1619,70.6342
32,Goa,4.5," ""Beaches, Sunsets and Crazy Nights"" "," Lying on the western coast, Goa is India's smallest state and unlike any other, known for its endless beaches, stellar nightlife, eclectic seafood, world-heritage listed architecture. Spread across just 3,702 km, Goa lies in the Konkan region. It is a far cry from the hippie haven or a beach getaway, and one of the only few destinations that is open 24x7. The laid-backness (susegad) of Goa attracts as many international tourists as it does Indians, or even more so.",Hotels,Markets,Bike/Car,High,Goan Cuisine,Baga Beach,Fort Aguada,Dudhsagar Waterfalls,2,5,5,5,3724,15.2993,74.124
33,Gulmarg,4.6," ""Heart of Winter Sports in India"" "," Situated at an altitude of 2730 m above sea level, Gulmarg is a popular skiing destination located in Pir Panjal Range of Union territory of Jammu and Kashmir. Surrounded by snow-covered lofty Himalayas, meadows of flowers, deep ravines, evergreen forested valleys, Gulmarg also has the world's second-highest Gondola ride.",Hotels,Local Markets,Gondola,High-Kashmiri Cuisine,Gulmarg,Gulmarg Gondola,Apharwat Peak,Outer Circle Walk,2,5,2,1,3724,34.0522,74.3853
34,Gwalior,3.8," ""Tourism Capital of Madhya Pradesh"" "," Gwalior is a historic city located in the state of Madhya Pradesh. Popular because of the hilltop fort, Gwalior is full of palaces and glorious temples giving this city a majestic charm which speaks volumes of its glorious past.",Hotels,Local Markets,Auto Rickshaws,Medium-Nice,North Indian Cuisine,Gwalior Fort,Jai Vilas Palace,Saas Bahu Temple,3,4,3,2,3724,26.2183,78.1828
35,Hampi,4.5," ""The abode of bygone ruins, rusty colors and fascinating landscape"" "," Hampi, the city of ruins, is a UNESCO World Heritage Site. Situated in the shadowed depth of hills and valleys in the state of Karnataka, this place is a historical delight for travellers. Surrounded by 500 ancient monuments, beautiful temples, bustling street markets, bastions, treasury building and captivating remains of Vijayanagar Empire, Hampi is a backpacker's delight. Hampi is an open museum with 100+ locations to explore and a favourite way to see the city from the perspective of its history.",Hotels,Local Shops,Auto Rickshaws,High-Nice,South Indian Cuisine,Virupaksha Temple,Hampi Bazaar,Lotus Palace,2,5,3,1,3724,15.335,76.46
36,Haridwar,4," ""Gateway to God"" "," Haridwar is one of the seven holiest cities in India, situated in Uttarakhand. It is located where the sacred river Ganga enters the Indo-Gangetic plains for the first time. Dotted with temples, ashrams and narrow lanes across the city, Haridwar is a famous Hindu temple town where millions of devotees come to take a dip in the holy Ganges. It's believed that taking a dip in the sacred Har Ki Pauri relieves one of all the sins.",Hotels,Local Markets,Auto Rickshaws,Medium-Nice,North Indian Cuisine,Har Ki Pauri,Mansa Devi Temple,Chandi Devi Temple,5,3,4,3,3724,29.9457,78.1642
37,Hogenakkal,4," ""The one that will take your breath away"" "," Hogenakkal is a waterfall located in Dharmapuri district of Tamil Nadu where the Kaveri river splits into multiple streams of waterfalls. Located at a distance of 180 km from Bangalore, Hogenakkal has water throughout the year. The carbonite rocks, the coracle (basket boat) rides, freshwater fish, oil massages by locals make it a perfect one day trip or a weekend getaway from Bangalore.",Hotels,Local Shops,Boat,High-South Indian Cuisine,Hogenakkal,Hogenakkal Falls,Melagiri Hills,Mettur Dam,3,4,2,1,3724,12.1224,77.8087
38,Honnemaradu,5," ""The Land of the Golden Sands"" "," Honnemaradu is a small cosy village, by the Honnemaradu Reservoir. The site is set in the middle of a valley and a weekend getaway to this place is nothing less than an adventure camp. The little village has very few people, and the only attraction is the water sports done at the Honnemaradu lake. Camping, canoeing or even just relaxing by the lake, Honnemaradu is perfect for a quick getaway. There are other attractions there as well like the Dabbe Falls and the famous Jog Falls are closeby. ",Hotels,Local Shops,Car,High-South Indian Cuisine,Honnemaradu,Honnemaradu Reservoir,Rafting in Sharavathi River,Basrur,3,5,1,1,3724,14.3216,75.3419
39,Hyderabad,4.1," ""The City of Nizams"" "," A city of contrasts, Hyderabad exudes an old-world charm of its own with the Old City (Charminar side), Hitech City (Cyberabad) and the other areas lying between the old and the new. The capital and the largest city of Telanaga, Hyderabad is home to stately mosques and noisy bazaars lined parallelly alongside swanky new office buildings and malls, and it is these very contrasts – these glimpses into the city’s rich past with inherent promises of an even better future –that make Hyderabad a city worth visiting. Maybe even more than once.",Hotels,Malls,Metro,Medium-Great,South Indian Cuisine,Charminar,Golconda Fort,Hussain Sagar Lake,4,4,4,4,3724,17.385,78.4867
40,Jaipur,4.4," ""The Pink City"" "," Also called the Pink City, Jaipur is the capital of the royal state of Rajasthan. Along with Delhi and Agra, Jaipur forms the Golden Triangle and hails as one of the most famous tourist circuits in the country.",Hotels,Markets,Auto Rickshaws,Medium-Nice,Rajasthani Cuisine,Hawa Mahal,Amer Fort,City Palace,3,4,5,3,3724,26.9124,75.7873
41,Jaisalmer,4.4," ""The Golden City"" ","The Jaisalmer Fort stands as a citadel with narrow alleys inhabited by people for generations and shops selling colourful handicrafts.Jaisalmer is a town, and to reach the Sand Dunes, travellers have to take a jeep safari followed by a camel ride. Thus, Jaisalmer is an amalgamation of exotic Indian desert culture, heritage and adventure.",Hotels,Local Markets,Camel,High-Rajasthani Cuisine,Jaisalmer,Jaisalmer Fort,Sam Sand Dunes,Patwon Ki Haveli,3,5,3,2,3724,26.9124,75.7873
42,Jammu &Kashmir,4.1," ""Paradise on the Earth"" "," Popularly known as the ""Paradise on Earth,"" Jammu and Kashmir is a tourist favorite for its scenic splendor, snow-capped mountains, plentiful wildlife, exquisite monuments, hospitable people, and local people handicrafts. Nestled in the Himalayan, Pir Panjal and Karakoram mountain ranges are renowned for their natural beauty and gentle people. Kashmir is memorable, as it's not only a nature lover's paradise but also a must-visit place for all adventure junkies.",Hotels,Local Markets,Car,High-Nice,Kashmiri Cuisine,Dal Lake,Shankaracharya Temple,Pari Mahal,4,5,3,2,3724,33.7782,76.5762
43,Jim Corbett National Park,4," ""Home to the Royal Bengal Tiger"" "," Jim Corbett National Park is the oldest national park set amidst the foothills of the Himalayas in the Nainital district of Uttarakhand. Known for housing the endangered Bengal tiger, Corbett National Park is part of the larger Corbett Tiger Reserve.",Resorts,Local Shops,Jeep Safari,High-Nice,North Indian Cuisine,Corbett Falls,Garjia Temple,Jim Corbett Museum,2,5,3,1,3724,29.5405,78.8496
44,Jodhpur,4.2," ""The Blue City"" "," Jodhpur is the second-largest city in Rajasthan and the former capital of the Marwar region. It is popularly called ""the Blue City"" as it looks completely blue from an aerial view because of its blue walls and houses. Jodhpur is primarily famous for its temples, lakes and snacks, with the magnificent Mehrangarh Fort being the main attraction.",Hotels,Markets,Auto Rickshaws,Medium-Rajasthani Cuisine,Jodhpur,Mehrangarh Fort,Jaswant Thada,Umaid Bhawan Palace,3,4,3,3,3724,26.2389,73.0243
45,Jog Falls,4.4," ""Second Highest Waterfall in India"" "," The second-highest plunge waterfall in India, Jog Falls is a major tourist attraction in Karnataka and is the highest waterfall in the state. Second, to the Nohkalikai Falls of Meghalaya, Jog falls drops about a huge 253 m (850 ft. ) in a single fall. However, due to the construction of Linganamakki Dam which is a hydroelectricity plant closeby, the flow in the falls is hugely restricted before monsoons. So, it is best to go during the Monsoon season to see the falls in its full form.",Hotels,Local Shops,Car,High-Nice,South Indian Cuisine,Jog Falls,Sharavathi Wildlife Sanctuary,Linganamakki Dam,2,5,2,1,3724,14.1959,74.8419
46,Kalimpong,4.1," ""Home to the Royal Bengal Tiger"" "," Kalimpong is a virgin hill station in West Bengal renowned for its panoramic valley views, Buddhists monasteries and churches and Tibetan handicrafts etc.",Hotels,Local Shops,Car,High-Nice,North Eastern Cuisine,Durpin Monastery,Deolo Hill,Mangaldham,4,5,2,1,3724,27.0717,88.472
47,Kanha National Park,3.8," ""The land of Jungle Book"" "," Located in a central region of Madhya Pradesh, Kanha National Park is the largest National Park in central India and has been ranked as one of the best parks in Asia. Among the 22 species of large mammals, the royal Bengal tigers are one of the major attractions. One of the best tiger reserves in India, the present-day area stretches over the 940-kilometre square which is divided into two sanctuaries: Hallon and Banjar. ",Resorts,Local Markets,Jeep Safari,High-Nice,Central Indian Cuisine,Kanha National Park,Kanha Museum,Bamni Dadar,2,5,2,1,3724,22.3945,80.0886
48,Kanyakumari,4.1," ""Cape Comorin or The Land's End"" "," Bordered by the three seas - Arabian, Indian and the Bay of Bengal, Kanyakumari is the southernmost tip of the Indian Peninsula. A small coastal town in the state of Tamil Nadu, Kanyakumari was earlier known as Cape Comorin. ",Hotels,Local Markets,Auto Rickshaws,Medium-Great,South Indian Cuisine,Vivekananda Rock Memorial,Thiruvalluvar Statue,Kanyakumari Beach,4,4,3,2,3724,8.0883,77.5385
49,Kasauli,4," ""Cozy little hill-station"" "," Located on the road from Chandigarh to Shimla in the Solan district, Kasauli is a hilly cantonment town that makes for an ideal peaceful holiday location, especially for a weekend getaway. Mainly known for its accessibility from Chandigarh and Delhi (located just 65 km away from Chandigarh), Kasauli is not about particular attractions or activities but the beautiful villas and the serene environment.",Hotels,Local Shops,Car,Medium-Nice,North Indian Cuisine,Monkey Point,Christ Church,Gilbert Trail,3,5,2,1,3724,30.9002,76.983
50,Kasol,4.4," ""The land of Jungle Book"" "," Kasol is a quaint little village in Himachal situated along the banks of the river Parvati. Commonly known as the 'Amsterdam of India', Kasol is a tourist attraction that is rapidly gaining fame as a popular hub for trekkers, backpackers, and nature lovers. The valley is situated 23 kms from Bhuntar and next to the religious town of Manikaran and is one of the best places in the country just to sit back and chill in the panorama of snow-clad mountains, pine trees and serene river.",Hotels,Local Markets,Car,High-Nice,North Indian Cuisine,Parvati River,Kheerganga,Manikaran Sahib,3,5,3,2,3724,32.0099,77.3152
51,Kaziranga National Park,3.8," ""Home to the One Horned Rhino"" "," Home to the largest population of the one-horned rhino on earth, Kaziranga National Park is one of India’s national treasures in terms of flora and fauna. Located in the state of Assam in North-Eastern India, its total area is shared by the districts of Nagaon, Golaghat and Karbi Anglong placing it roughly at the centre of the state. Approximately around five hours by road from Guwahati, Kaziranga National Park stands tall as the epitome of successful wildlife conservation in India. In 1985, it was awarded the status of a World Heritage Site by UNESCO.",Resorts,Local Markets,Jeep Safari,High-Nice,Assamese Cuisine,Kaziranga National Park,Kaziranga Orchid and Biodiversity Park,Panbari Reserve Forest,2,5,2,1,3724,26.6758,93.171
